Timestamp,X_Accel_g,Y_Accel_g,Z_Accel_g
551,-0.148926,0.640625,-0.803711
552,-0.215332,0.635254,-0.750488
553,-0.248047,0.605469,-0.835938
554,-0.302734,0.625488,-0.757324
555,-0.414062,0.620605,-0.662598
556,-0.463379,0.599121,-0.687012
557,-0.478516,0.593262,-0.686035
558,-0.508789,0.585938,-0.662109
559,-0.641113,0.501465,-0.595703
560,-0.693359,0.454102,-0.487305
561,-0.74707,0.450684,-0.498535
562,-0.763672,0.483887,-0.411133
563,-0.798828,0.463867,-0.351562
564,-0.809082,0.485352,-0.314941
565,-0.817871,0.500488,-0.288086
566,-0.788086,0.519043,-0.303223
567,-0.782715,0.510742,-0.347168
568,-0.816895,0.480469,-0.299805
569,-0.8125,0.45459,-0.287598
570,-0.811035,0.496582,-0.251465
571,-0.809082,0.513672,-0.19043
572,-0.75293,0.588379,-0.174316
573,-0.726074,0.669922,-0.143555
574,-0.635254,0.734375,-0.112793
575,-0.549316,0.803711,-0.106934
576,-0.539551,0.819824,-0.094238
577,-0.510742,0.827148,-0.100098
578,-0.537109,0.821289,-0.093262
579,-0.54834,0.790039,-0.115723
580,-0.633789,0.734375,-0.171387
581,-0.696289,0.628906,-0.290527
582,-0.687988,0.609375,-0.426758
583,-0.641602,0.570801,-0.546875
584,-0.584961,0.571289,-0.664062
585,-0.489746,0.541016,-0.722168
586,-0.385254,0.530762,-0.810059
587,-0.310059,0.535645,-0.833984
588,-0.309082,0.526367,-0.818848
589,-0.411621,0.519531,-0.785156
590,-0.53418,0.520996,-0.649902
591,-0.621582,0.510254,-0.603027
592,-0.671387,0.491211,-0.519531
593,-0.779297,0.499023,-0.432129
594,-0.802246,0.470703,-0.396484
595,-0.810059,0.373047,-0.426758
596,-0.86084,0.217285,-0.490234
597,-0.845215,0.038574,-0.490723
598,-0.900879,-0.208008,-0.476074
599,-0.788574,-0.335449,-0.495605
600,-0.767578,-0.400879,-0.54248
601,-0.708984,-0.490723,-0.595215
602,-0.613281,-0.516602,-0.65918
603,-0.59668,-0.533203,-0.614258
604,-0.609863,-0.491699,-0.656738
605,-0.615234,-0.413574,-0.709473
606,-0.643066,-0.283203,-0.728027
607,-0.646973,-0.145996,-0.753906
608,-0.597656,-0.04541,-0.81543
609,-0.591309,0.043457,-0.810547
610,-0.538574,0.161621,-0.834473
611,-0.513184,0.238281,-0.843262
612,-0.407715,0.347168,-0.902344
613,-0.360352,0.412109,-0.850098
614,-0.275391,0.384766,-0.947754
615,-0.242676,0.356934,-0.925781
616,-0.554688,0.224121,-0.789062
617,-0.346191,0.415039,-0.884277
618,-0.336914,0.445312,-0.863281
619,-0.334473,0.498535,-0.874023
620,-0.30127,0.511719,-0.838379
621,-0.293457,0.498535,-0.800293
622,-0.291992,0.450195,-0.797852
623,-0.174805,0.460449,-0.901367
624,-0.018066,0.319336,-0.962402
625,0.024414,0.108398,-1.048828
626,0.055176,0.015137,-1.053223
627,0.05957,-0.030273,-1.045898
628,0.041992,-0.020508,-1.060059
629,0.024902,0.003418,-1.056641
630,-0.009277,0.077148,-1.030762
631,-0.04248,0.222168,-1.01709
632,-0.033691,0.291504,-0.999512
633,-0.04541,0.405273,-0.974609
634,-0.052734,0.46875,-0.963379
635,-0.044922,0.475098,-0.960449
636,-0.028809,0.312012,-1.040039
637,-0.078125,0.111328,-0.99707
638,-0.094727,0.079102,-1.026367
639,-0.098145,0.004883,-1.035645
640,-0.081543,-0.117676,-1.033203
641,-0.111328,-0.210449,-1.010254
642,-0.124023,-0.184082,-1.024414
643,-0.086914,-0.039551,-1.043457
644,-0.109375,0.024414,-1.041016
645,-0.154297,0.01416,-1.020996
646,-0.174316,0.026367,-1.025879
647,-0.195801,0.046875,-0.984375
648,-0.214844,0.047852,-1.03125
649,-0.22998,0.044922,-1.016602
650,-0.253906,0.010254,-0.993164
651,-0.298828,0.021973,-0.993164
652,-0.367676,0.035156,-0.994629
653,-0.482422,0.053223,-0.897461
654,-0.59082,0.060547,-0.861816
655,-0.651855,0.064453,-0.722656
656,-0.820312,0.103516,-0.604004
657,-0.910645,0.084473,-0.380859
658,-0.94043,0.039551,-0.262207
659,-0.967285,0.025391,-0.241699
660,-0.978516,-0.02002,-0.221191
661,-0.933105,-0.124023,-0.240234
662,-0.900391,-0.226562,-0.248535
663,-0.930176,-0.269043,-0.306152
664,-0.882324,-0.279297,-0.29541
665,-0.857422,-0.325684,-0.307129
666,-0.901855,-0.387695,-0.312988
667,-0.858887,-0.360352,-0.336914
668,-0.863281,-0.355469,-0.352539
669,-0.859863,-0.310547,-0.408203
670,-0.84668,-0.250977,-0.433594
671,-0.830078,-0.196777,-0.533203
672,-0.815918,-0.151855,-0.589355
673,-0.794434,-0.120605,-0.610352
674,-0.765625,-0.062012,-0.692871
675,-0.725586,-0.070312,-0.705078
676,-0.684082,-0.052246,-0.717773
677,-0.678223,-0.023438,-0.769043
678,-0.690918,-0.02832,-0.750488
679,-0.705078,-0.000488,-0.728516
680,-0.730469,0.010254,-0.672363
681,-0.780762,-0.044434,-0.655273
682,-0.757812,-0.091797,-0.631348
683,-0.766602,-0.15332,-0.669922
684,-0.646484,-0.22998,-0.676758
685,-0.647949,-0.353027,-0.668457
686,-0.634766,-0.364746,-0.675293
687,-0.637695,-0.334473,-0.725586
688,-0.642578,-0.236816,-0.759277
689,-0.666992,-0.15332,-0.748535
690,-0.67041,-0.078125,-0.753906
691,-0.661621,-0.062012,-0.790039
692,-0.646973,-0.097656,-0.797852
693,-0.61084,-0.155273,-0.797852
694,-0.577148,-0.174805,-0.806641
695,-0.565918,-0.174805,-0.830566
696,-0.582031,-0.144043,-0.831543
697,-0.570312,-0.243652,-0.791992
698,-0.508301,-0.309082,-0.839844
699,-0.491211,-0.293457,-0.873535
700,-0.462891,-0.25293,-0.851074
701,-0.416504,-0.327148,-0.89209
702,-0.405762,-0.305176,-0.90918
703,-0.392578,-0.285156,-0.916992
704,-0.334473,-0.267578,-0.922852
705,-0.231934,-0.251953,-0.994629
706,-0.213867,-0.23877,-1.009766
707,-0.189453,-0.223633,-1.008789
708,-0.158691,-0.208984,-1.016113
709,-0.12793,-0.163574,-1.03418
710,-0.077637,-0.166504,-1.042969
711,-0.033203,-0.130859,-1.041016
712,-0.027344,-0.118164,-1.046387
713,0.016113,-0.104492,-1.056152
714,0.043457,-0.089355,-1.036621
715,0.050293,-0.093262,-1.040527
716,0.057617,-0.105957,-1.04248
717,0.081055,-0.07373,-1.039062
718,0.062988,-0.060547,-1.052246
719,-0.030762,-0.084473,-1.02832
720,-0.099121,-0.129395,-1.035645
721,-0.16748,-0.191895,-1.041504
722,-0.158691,-0.213867,-0.996582
723,-0.163086,-0.282227,-0.999023
724,-0.190918,-0.306641,-0.97168
725,-0.218262,-0.362305,-0.95752
726,-0.262207,-0.39502,-0.932129
727,-0.25,-0.439453,-0.899902
