Timestamp,X_Mag_Raw,Y_Mag_Raw,Z_Mag_Raw
676,-0.310219,-0.113139,0.132847
677,-0.29708,-0.091971,0.127007
678,-0.288321,-0.079562,0.121168
679,-0.269343,-0.059124,0.121898
680,-0.248905,-0.040876,0.119708
681,-0.232117,-0.027007,0.116788
682,-0.205839,-0.016058,0.118248
683,-0.164964,0.0,0.111679
684,-0.116788,0.00438,0.110219
685,-0.086131,0.00146,0.114599
686,-0.048905,-0.005839,0.112409
687,-0.00146,-0.025547,0.109489
688,0.031387,-0.048175,0.106569
689,0.052555,-0.069343,0.10292
690,0.072263,-0.091971,0.088321
691,0.081752,-0.107299,0.078102
692,0.091971,-0.128467,0.062774
693,0.09781,-0.144526,0.046715
694,0.10292,-0.164234,0.036496
695,0.105109,-0.191241,0.022628
696,0.10219,-0.229197,0.009489
697,0.092701,-0.257664,-0.005109
698,0.075912,-0.3,-0.014599
699,0.064964,-0.319708,-0.018978
700,0.059124,-0.322628,-0.025547
701,0.037956,-0.354745,-0.021168
702,0.010219,-0.377372,-0.026277
703,-0.008759,-0.381022,-0.040876
704,-0.047445,-0.393431,-0.051825
705,-0.094161,-0.394891,-0.064234
706,-0.116788,-0.378832,-0.083212
707,-0.157664,-0.351825,-0.09854
708,-0.19854,-0.308029,-0.110219
709,-0.230657,-0.254015,-0.108759
710,-0.247445,-0.210219,-0.1
711,-0.246715,-0.172263,-0.094891
712,-0.223358,-0.094891,-0.072993
713,-0.194891,-0.048905,-0.046715
714,-0.181752,-0.021168,-0.012409
715,-0.163504,-0.00438,0.016058
716,-0.137226,0.005839,0.043066
717,-0.085401,0.005839,0.10073
718,-0.068613,-0.005109,0.132847
719,-0.048175,-0.029197,0.170803
720,-0.029197,-0.063504,0.20292
721,-0.016788,-0.092701,0.219708
722,-0.005109,-0.121168,0.231387
723,0.005109,-0.168613,0.240876
